id_str,text,"Related MeToo?
1. Yes
2. No","Stance?
1. Support
2. Against/Critical
3. Question

Blank if uncertain","Harassment Category
A. patronizing
B. unwanted sexual attention
C. predatory
D. not enough context

Blank if uncertain"
920223333060366339,#MeToo 1st time I remember I was 12... He put his hand on my knee. I sat frozen for ages. Eventually plucked up the courage to walk away 1/3,1,1,C
922519009953828864,"Yes, every damn day. #MeToo #ISeeYou https:// twitter.com/gettinnoticedm o/status/922115841105149952 …",1,1,D
920042076007317504,"And if you just can’t share the story itself, that’s ok too. Just know your voice will be heard, however you feel able to speak up... #MeToo https:// twitter.com/womensmarch/st atus/919705604075216896 …",1,1,
920287848355565574,#MeToo https:// twitter.com/JessicaCapshaw /status/920007068035121153 …,1,,D
924001265142697984,Whatever down spiral she went on after he did that is not any of their business. #metoo,1,,D
921404657674600448,"With the Me too post flooding, I feel that it is Girls & mothers that need to be educated. A mother makes her son what he is! #metoo",1,2,
920126466901364737,(1/3) For those who think #metoo is too broad or vague- All instances of harassment stem from a sense of entitlement...,1,1,
919904317271887872,The fantasy of sexual assaulters being held accountable for their actions kind of died for me when the GOP elected one president after he publicly bragged about it #MeToo,1,2,
920733009657114625,"as difficult as this is, #MeToo",1,1,D
920825329857437697,#MeToo #CNNDebateNight https:// twitter.com/Craftmastah/st atus/920811813024993281 …,1,,
919935041689542656,"instead of telling girls how not get raped, Teach men how not to rape , No means No #MeToo",1,1,
920831855552634880,#MeToo,1,1,D
920091785552052224,#MeToo,1,1,D
920731526085701632,#MeToo https:// twitter.com/rwitherspoon/s tatus/920327225584390144 …,1,1,D
923148809655521281,"To women bravely posting #metoo : As a man, I pledge never to commit, condone or remain silent about men’s violence against women. #CountMeIn",1,1,
922236834595377152,metoo faked being a Native American...,2,,
919843924335669248,You're brave and courageous. #Metoo I didn't file reports either because I didn't want to relive it.,1,1,D
920168094605172736,#Metoo It is surprising to see that none of us has been spared.   P.S. If you thought what it is. Women and men... https://t.co/aBUJdGN4eV,1,1,
919914829430718464,"I knew them. They were friends, lovers. They didn't have to force me, but they wanted to control me. Sexual violence is about power. #MeToo",1,1,C
919980482795851778,I think the bravery to tell your story using #MeToo is incredible. But I also feel very strongly that you shouldn't have to out yourself.,1,1,
920874809822650368,The latest Artists in the City! https:// paper.li/ArtistsntheCit y/1388447425?edition_id=0bcdded0-b489-11e7-af31-002590a5ba2d … #metoo #ihave,2,,
920884030995943424,#MeToo https:// twitter.com/chy_leigh/stat us/920739528444391425 …,1,1,D
921766485583949825,The latest BLACK HOLE MEDIA TODAY! https:// paper.li/f-1469548469?e dition_id=05df4ae0-b678-11e7-b291-0cc47a0d164b … #metoo,2,,
920012378284154880,#MeToo https:// twitter.com/Alyssa_Milano/ status/919659438700670976 …,1,1,D
920104454728421376,Because the only one who should be ashamed is him #MeToo,1,1,D
919883657971724288,Wonder how many members of the republican party would post this quote on their fridge for their children to be inspired by. #metoo pic.twitter.com/qGafJCX8zh,1,3,
920297434546360320,#TuesdayThoughts #MAGA #DonaldTrump #meToo pic.twitter.com/0D0X2KFzte,1,,
920386260241235968,"He spent a good 15min+ reaching under my gown & 'digging'. Me, scared to death & trying to keep the sleeping pretense. Brother slept. #MeToo",1,1,C
920797870755741696,"Every single one of the women I know, know of, or love have a #MeToo story. That speaks volume.",1,1,
921992996681269248,I hope the #message gets through ! I hope one day this land becomes a decent place to live #talksassy #MeToo #PowerOfWomen #TrueStory pic.twitter.com/1Staocka4C,1,1,
919986528197242880,New post on my blog: #MeToo brings stories of sexual harassment and assault to social media http:// ift.tt/2hJRRi8,1,1,
919999962951405568,if #metoo amounts to anytime a guy made you feel uncomfortable then we are losing ability to single out people like #Weinstein,1,2,
921469426863607808,i just wanna know why we're still telling people to stop getting abused/harassed when we should be telling people not to abuse/harass #metoo,1,1,
920776268743880704,5 Things to Do About #MeToo - https:// buff.ly/2ytqR0V,1,,
920098521944076289,I believe you. #MeToo,1,1,
920971889253773312,#MeToo https:// twitter.com/TheMarkPantano /status/920723086072274944 …,1,1,D
920286148651552768,#metoo I stand with both women and men who have been sexually harnessed or molested.,1,1,
921529164217253888,There’s nothing quite like hearing your anthemic album at full blast on iTunes #martawoodhull #face #conquer #survivor #metoo #neveragain pic.twitter.com/LbEFa9oDRa,2,,
920053736344395776,#metoo,1,1,D
920685561450414080,I was 6 when it started. His death ended it when I was 12. #MeToo,1,1,C
919816795183308800,The latest Personal Injury Defenders! https:// paper.li/AndersonMacky/ 1337798790?edition_id=b8341660-b23d-11e7-8bb0-0cc47a0d1609 … #metoo #lmamkt #personalinjury is an area I am most passionate about. Check …,2,,
921343182691999744,#MeToo s. harassment HS Gr12 math teacher. Reported it but school did nothing Didn’t go to class after that but ‘mysteriously’ able to pass,1,1,C
920983027290923011,After #HarveyWeinstein —voices on social media rise against #sexualharassment with #MeToo movement. http:// cnn.it/2yvCzqV #stepinINDIANA pic.twitter.com/0JQ9Fjo7rE,1,1,
920118135897780224,#MeToo,1,1,D
920210506270564354,The latest The Markeson Daily! https:// paper.li/markeson?editi on_id=4899b770-b318-11e7-a385-0cc47a0d1605 … #metoo #usgp,2,,
919983053405151238,"Someone once threatened to rape me then brushed it off as drunken banter"". #MeToo""",1,1,A
920921808919937025,#MeToo lets not stop here ladies lets call out Mathew Freud Rothschilds & Psych system in which innocents R getting raped including children,1,1,C
920166628968554496,"Ive been abused, grabbed when I was just 12 years old. Have been sexually harassed in public transportations and in the streets. #MeToo",1,1,C
923568687713542145,"& Weinstein et al’s Browood shapes our grand myths about the HUMAN condition from a Misogynist POV, about how we are & who we CAN be #metoo",1,1,
920662971818369024,#MeToo just know it's happened to me too.,1,1,D
920089853487927296,"He was a friend"". I was 18. #metoo""",1,1,D
919942318844792834,I wish if the suspect feels the same way as what he made the victim feel. #MeToo,1,1,D
922162494403219457,THIS! #metoo #azeliabanks https:// twitter.com/LeeMteamcool/s tatus/917934197754466304 …,1,1,D
922153574955565056,"#MeToo (Realisitically, who hasn't!)",1,1,D
920121596483915776,This! #MeToo pic.twitter.com/8nuYhjjGjv,1,1,D
920327400679866368,"#metoo has made me think of a situation when I was 13 that could have turned out so much worse, if an older girl hadn't looked out for me.",1,1,C
920026834670043136,#MeToo https:// twitter.com/womensmarch/st atus/919705604075216896 …,1,1,D
920088383384416256,#MeToo,1,1,D
920121857705234433,he was someone i was supposed to love and trust but he destroyed that love & trust over and over and over again. i was only a child. #MeToo,1,1,C
920983719187570688,The latest Putranto Papers! https:// paper.li/NovanPutranto/ 1309442632?edition_id=81618b60-b4c5-11e7-8c18-0cc47a0d164b … #metoo #nba,2,,
919916096202989568,#metoo,1,1,D
920089905274982401,#metoo,1,1,D
920221472919916544,As a response to #MeToo I start #NotMe to urge men to stand behind all women out there! I'm NOT… https://www. instagram.com/p/BaWCImkhAfF/,1,1,
920152790705590272,Exasperated to see all #metoo posts. But Sigh yeah! #MeToo,1,1,D
919962570810970112,#Metoo,1,1,D
921413510239801344,My friend Ryan asked me to pen an article based on my #metoo post from a few days ago for ReThink Church. Here it... http:// fb.me/8zkIcNyyu,1,1,D
919900970271854593,#MeToo,1,1,D
920118511397195777,#MeToo,1,1,D
923585029195882498,"sexist.... outrageous..... have flagged you for hate speech, i'm visibly shaken and I'm now a victim #MeToo",1,1,D
924595965226569728,UBER SYNONYMOUS WITH RAPE & SEXUAL ASSAULTS SIMPLY DISGUSTING #banuber #MeToo http://www. dailymail.co.uk/news/article-5 013483/Uber-driver-accused-raping-unconscious-passenger.html …,1,1,C
920315835499012096,"#MeToo I sincerely hope, #metoo turns into ' #Never '",1,1,
920990669522403328,Victims of unwanted sexual attention speak out with Me Too campaign. #metoo http:// foxillinois.com/news/local/me- too-sexual-harassment-and-sexual-assault-victims-come-together-online …,1,1,B
924245725197799424,pic.twitter.com/whgvU13LLC,2,,
920399043150323712,It was years ago that I realized #metoo was more like #haventweall . It seemed everyone I knew had a story. Stories.,1,1,D
919915145425555457,Enough. #MeToo,1,1,D
920000732950081536,#MeToo,1,1,D
920161297815220224,I don’t owe anyone an explanation or my story. #MeToo,1,1,D
920041605469491202,#MeToo,1,1,D
920993375704186880,#metoo,1,1,D
921839868350693377,pic.twitter.com/KlnZLxBPOz,2,,
920132411773480960,Thirsty liberal men reading your #MeToo tweets. pic.twitter.com/tD2Bvji6ah,1,,
920212505485611013,"Woman are unbelievably brave, I applaud you all and wish I had half as much courage. #MeToo",1,1,
921156021632069632,#MeToo https:// twitter.com/JarettSays/sta tus/921152826096496640 …,1,1,D
921924465415426050,2/2 These comments were made by women about another WOMAN. I’ll jump on the #metoo bandwagon when women back the fuck off one another.,1,2,D
919940593555472390,"I was in middle school the first time I was sexually assaulted, it was not the last. #MeToo",1,1,C
920418325125062661,#MeToo because it doesn’t only happen to women. It can happen to men too.,1,1,D
920037096362008578,"I am uncomfortable wearing lipstick on the streets. Let alone trying to look fresh, or god forbid smile on the streets. #metoo",1,1,D
920004185172541440,"Home place"" Work ""place"" Social ""space"" ANY PLACE #MeToo""",1,1,D
919995236709003265,For those who have written @MeToo on their timelines or experienced pain or shame and couldn't find the courage... http:// fb.me/1JFHQ5d0c,1,1,
923007294870188033,#metoo pic.twitter.com/FOrgI3qfzF,1,1,D
919935360766918656,#metoo thru words and unwanted touch by strangers.,1,1,C
920351187647520772,Niecy Nash Talks #MeToo Movement & Reactions of Her Male Friends in Wake of Weinstein Scandal http://www. highbroadcast.com/2017/10/niecy- nash-talks-metoo-movement.html …,1,,
920414191428751362,"And I guess that's what kind of disgusts me. Even the #MeToo hashtag is the result of a black woman's labor, appropriated by a white woman..",1,2,
920621880612130816,Shout out to @Alyssa_Milano for columbusing #metoo from @TaranaBurke,1,1,
920033960163446785,"Sexual assault happens to both genders, whether we admit it or not. Is a man allowed to write #MeToo on social media?",1,3,
920205730250072064,#MeToo The only reason why you feel that I stay on a moral high ground is that YOU do not even know what moral and ethics mean! You are simply disgusting defending Trumps behaviour towards women! Now get lost! Blocked! https:// twitter.com/an_gekko/statu s/920203944844038144 …,1,1,
924001382142750720,#Keep Speaking Out Until Somebody Listens! #MeToo pic.twitter.com/MGZVtKONpe,1,1,
919980464454230016,"But after talking w/other women, I learned. It wasn't my fault. I wasn't alone. It was abt the need to exploit, control. #MeToo + https:// twitter.com/decollins1969/ status/919979975297699840 …",1,1,D
922116478278754304,#METOO https:// youtu.be/Gk5WiCCq_YY via @YouTube,1,1,D
920090726410567680,I think I'd have terrible flashbacks if I looked at that because #MeToo,1,1,D
920088973262970882,#MeToo,1,1,D
923216404551274496,"An interesting article, Dispelling the Myth of the Girl Who Cried Raped via @RachelintheOC #metoo https:// twitter.com/rachelintheoc/ status/923215126668255233 …",1,,
920384140503109632,and here is another fun fact about the #metoo movement -- i haven't thought THIS much about being raped since i was raped. i haven't thought about all of the horrendous sexual violence i've been privy too all at once like this ever before. i am exhausted.,1,2,C
