id_str,text,related,stance,category
919996487559532545,Me too. #metoo,1,1,D
919950022426243073,#MeToo I personally witnessed gay men shocked to the core when mildly harassed on the streets. I almost laughed. This is women's reality.,1,1,B
920102070321012736,#MeToo,1,1,D
921028213970800643,"Ur post just made me so emotional cuz #metoo , not just once or twice. Thank you for standing up and fighting. pic.twitter.com/Oyppvq993y",1,1,D
920123914059177984,"One day I’ll freely be able to tell my story. Until then, #MeToo . pic.twitter.com/aCewEiC68Q",1,1,D
923828919547060224,I am the MAN who created #Mitthu . I'm in no brigade. I'm alone. Surviving the harrassment by #MeToo,1,2,
919968622939865089,and the #MeToo hashtag about woman talking about their experience with sexual assault and harvey it was too much to deal with for me,1,1,
921172786923450368,#MeToo,1,1,D
920272430719029248,Survivor spaces allow women w power to focus on harm we experience w/o much accountability for harm we cause #MeToo http:// feministing.com/2017/10/17/met oo-gender-violence-does-not-exist-without-white-supremacy/ …,1,,
920211684999905280,#MeToo,1,1,D
920313516749459457,Everybody should be free to decide what happens with their body and who they share their body with. Without question. #MeToo #SheDecides,1,1,
919873832235814912," #MeToo Floods Social Media With Stories of Harassment and Assault"" by ANNA CODREA-RADO via NYT http:// ift.tt/2ysLwSf pic.twitter.com/X4D2HagCEu""",1,,
921354097470603264,Kolkata Police Have A Commendable Response to the #MeToo Movement https://www. thebetterindia.com/?p=118731 via @thebetterindia,1,,
920111342647955457,#metoo,1,1,D
919966157930663937,"Elizabeth Smart was abducted as a CHILD & escaped 9 months later. Ppl said, 9 months, huh? Mormon family probably hid a pregnancy."" #MeToo""",2,,
919852092134531072,You aren't alone. #MeToo,1,1,
921544555547291650,"A poignant discussion about #MeToo on Fox 2 Detroit's Let It Rip! with a lawyer, a psychologist, and two authors! http://www. fox2detroit.com/news/288429853 -video … pic.twitter.com/77GbHZvYlf",1,,
921396950062297090,#MeToo,1,1,D
919942217971539970,Me Too. #MeToo,1,1,D
919847656876322816,"Well, yeah. #MeToo",1,1,D
920433093869211649,"the internet is a bit traumatic lately, and no we are not being too sensitive. Because no means no and we deserve respect. #metoo",1,1,
920653537318711296,Men doing better. : #MeToo posts about sexual harassment prompt me to confess #YesIHave https://www. dallasnews.com/opinion/commen tary/2017/10/16/metoo-posts-sexual-harassment-prompt-confess-yesihave …,1,1,
920166405194092545,#MeToo https:// twitter.com/thedailybeast/ status/920163729471307777 …,1,1,D
919946186580115456,#METOO https:// twitter.com/bestcoast/stat us/919803129721491457 …,1,1,D
921063132151406592,GQ fires writer 'heartbroken and inspired' by #MeToo stories after sexual assault allegation - https:// twitchy.com/gregp-3534/201 7/10/19/gq-fires-writer-heartbroken-and-inspired-by-metoo-stories-after-sexual-assault-allegation/ …,1,1,
920020374523404288,#MeToo,1,1,D
924469731100205057,"#EmpathyForYou means being aware that the daily line women walk between interacting freely & concern for their safety, is a grind on their dignity It's reflecting vs misdirecting Before we can #CreateAnew we need to empathize with (give understanding to) those saying #MeToo pic.twitter.com/5QlbnKpAUr",1,1,
919912793859555328,#MeToo and almost every woman I know.,1,1,D
922062044941168640,The latest Yukihiro’s ON LINE News! https:// paper.li/pachiki71/1318 170531?edition_id=1869e590-b71c-11e7-8999-0cc47a0d1609 … Thanks to @koji #marr #metoo,2,,
921905624610492416,"#MeToo flew alone LAX 2 ATL- aunt visit-1976. 16 yo skinny, flat-cheated kid. Guy, next me? octopus+tongue...Who to tell? Yep, DJT did same",2,,
9.21676E+17,@coe @EUCouncil @EU_Commission Democracy in #Spain & #EU is based in physical superiority like sexual violation #balancetonporc #MeToo #EUCO pic.twitter.com/ImNdWxTgRL,1,,
919885417041850369,"Sadly, I must that admit that it has been inflicted upon #MeToo - and way more than once. Can we make it end for future sons and daughters?",1,1,D
920169642110455808,#MeToo,1,1,D
924854309568757760,#MeToo pic.twitter.com/adIu0trPtQ,1,1,D
919918750714937344,#MeToo,1,1,D
920205738525450240,#Metoo I am a survivor of rape and sexual assault never am I a victim; always a warrior ready to fight back @ywcasv #meto,1,1,C
920212823527051265,Of course #MeToo I'm a woman. I don't know any women who don't have a story.,1,1,D
924033142360551424,How #MeToo Can Graduate from Moment to Movement - The #MeToo hashtag has been tweeted well more than a million ... http:// ow.ly/E4io50eR5M9,1,1,
920009717283545089,#MeToo,1,1,D
919920610196803584,#MeToo,1,1,D
921443179676696576,Don’t forget that millions of women abuse their sexuality to make career... #ikook #metoo #ichauch #moiaussi #yotambien #ancheio #eutambém,1,2,
923956414468579328,just got this from a friend I haven't seen much of the campaign from Kenyans on Twitter tho #MeToo pic.twitter.com/KugP0GIM2Y,1,,
920801537449869312,#NomeansNo #consent #Metoo simple pic.twitter.com/LlVO5P68Mm,1,1,
924486232448622593,#MeToo,1,1,D
923422177415843841,Ei #Europa ... on ets? #aixino #creiaqueeraladetots #Metoo https:// twitter.com/evapiquer/stat us/923266143741186050 …,,,
923291298596929538,Japan’s Big #MeToo Moment: You Think Hollywood Abuses Women? You Oughta See Tokyo. http:// google.com/newsstand/s/CB Iwn4XPtzY …,1,1,
919957976013664256,"#MeToo One time a senior member of my team said to me I just like to watch u walk past my office. No 1 has a walk like u"" Used alt route""",1,1,B
919823618510503937,#MeToo,1,1,D
920389432368394240,"#MeToo , because I want to stand with those strong enough to share their stories and hope one day I’ll be able to share my own",1,1,D
919914695372541952,"#MeToo If every person who has been sexually harassed or assaulted wrote Me too"", we might give people a sense of how huge this problem is.""",1,1,D
923477996312281089,#Metoo,1,1,D
919834612611895296,Because I ditched my old life just to make a new one. #MeToo,1,1,D
919964735629602818,Court arrives and I have to watch a 3 hour body cam footage prior to the court date. #MeToo,1,1,D
919921496281239552,#MeToo,1,1,D
920661566349103106,I'm so sorry this happened to you. #MeToo,1,1,
919819828478824448,The worst part of this hashtag is realising how many stories I actually have. #MeToo,1,1,D
919937811779686400,#MeToo,1,1,D
919837749288435712,"Kinda messed up that I completely forgot about the time I was sexually assaulted on public transport before I saw #metoo , as if it's normal",1,1,C
921409475378012161,"#metoo Most sexassults in EU > 90 % are done by migrants #refugees They cant integrate, came 4 pay $. 10% of #Swedish females victims/year https:// twitter.com/OnlineMagazin/ status/921324017772122112 …",1,1,
920527845511741441,#metoo,1,1,D
920234842289246209,It would be interesting if the PERPETRATORS of sexual harassment and assault were the ones posting #metoo,1,1,
920377384037175298,"Current politics & #metoo and all the strife in the world, I'm having a really freakin hard time trying to stay positive on social media.",1,1,
921791919566540800,#MeToo should be open to everyone who is afraid to admit that they were sexually assaulted. Everyone can be an offender and everyone can be,1,1,
920021142450200578,"You're experiences are your own, don't feel pressure to talk about what you don't want to share, just know you are not alone. #MeToo",1,1,
921164798443819010,#MeToo in the jewish community & more - http:// mailchi.mp/ravjill/reclai m-your-time-1741357 …,1,1,
920006589733527552,Let's move from #MeToo to #NeverAgain >>> full post https://www. facebook.com/photo.php?fbid =10214563913395283&set=a.1058170538225.9817.1344729026&type=3&theater … pic.twitter.com/G3lR5wX9Ni,1,1,
919925711867121665,#MeToo Floods Social Media With Stories of Harassment and Assault https:// nyti.ms/2zcOJT9,1,1,
920710536836386826,"[Thread] All of the posts under #MeToo have been heartbreaking, but McKayla's this morning absolutely floored me. It's awful to hear of -",1,1,
921534689013153792,#MeToo because that one night changed my life forever,1,1,D
920042882743992320,My heart breaks for all of the #metoo stories. I apologize to all of you for my actions and inactions in this.,1,1,
920323301351809025,#MeToo,1,1,D
919919840919306240,"The TL, both twitter and FB is filled with #MeToo . If ever the culture of omerta needs breaking it is now.",1,1,
919923538374676481,WHOA: Did Monica Lewinsky just SMACK Bill Clinton with her #MeToo tweet? https:// twitchy.com/samj-3930/2017 /10/16/whoa-did-monica-lewinsky-just-smack-bill-clinton-with-her-metoo-tweet/ … via @twitchyteam,1,,
920229466718093312,"Literally, Why Can’t I Say #MeToo https:// totalsororitymove.com/literally-why- cant-i-say-metoo/ …",1,,
920117117927636992,How about the men who get falsely accused of sexual assault like Trump @social77media #SummerZervos #MeToo https:// youtu.be/-362w3P-0xU,1,3,
919851911683112960,"It has taken a long time, but after acknowledging the pain I can finally begin to heal. #MeToo",1,1,D
919880895766638592,My ex was sexually aggressive and called me “useless” constantly. He was the one who was a waste of space. #metoo,1,1,B
920092136468496384,#metoo #ItHappensEverywhere #pic.twitter.com/QpKebQp30h,1,1,
920916062358687744,Our voices are louder when we raise them together. #MeToo Chime for Change. #UNWomen #MeToo #GlobalCitizens #GirlsNotATarget #pic.twitter.com/l1Ioren1Lt,1,1,
920010082833850369,"I put my #metoo story on twitter but not fb. I don't want to explain to family, don't want to answer questions. It's just easier here.",1,1,D
919872556890578944,This #MeToo is for a friend who was suicidal after being raped. Felt like she was the one who carried the shame.,1,1,
921382768415789059,It did happen once but that one time has definitely left me scarred for life #MeToo,1,1,D
924195286955839489,Disappointed by Michael Gove? #MeToo,1,1,
920369662319321088,#MeToo bc the first time I ever went to a club a man stuck his hand up my skirt and my shirt and I told myself I shouldn't have worn that.,1,1,C
921448544027934720,"Entrepreneur: RT Rose_Leadem: Learn from talkwalker, a brand that did a great job adding to the #MeToo social initiative. …",1,1,
921096285716754432,Bill Clinton accuser Juanita Broaddrick slams Monica Lewinsky over ' #MeToo ' tweet http://www. foxnews.com/politics/2017/ 10/19/bill-clinton-accuser-broaddrick-slams-lewinsky-over-metoo-tweet.html …,1,2,
920004850103943168,No shame in posting #MeToo and not expounding. That’s what I did & for me was all I needed.,1,1,D
921462219875016705,"Top story: The Woman Who Created #MeToo Long Before Hashtags http://www. nytimes.com/2017/10/20/us/ me-too-movement-tarana-burke.html … , see more http:// tweetedtimes.com/media/nytimes/ all?s=tnp …",1,1,
920619256106160128,"Don't be afraid to dream, You can be anything!! - #LyndaCarter  #MeToo  #WonderWoman https://t.co/p7O4XljfzK",1,1,
920338275159760896,"A male ""friend"" just said sexual harassment occurs because 30 yrs ago women said we don't need a hero and the good men listened. #metoo #wtf",1,1,A
920415278227513344,#MeToo A Hollywood crisis that victims speak out but don't name names.,1,1,
920078335014817792,#MeToo,1,1,
923802061937897472,This is true #FeministLiesMatter #MeToo http:// judgybitch.com/2017/10/25/clo sed-legs-dont-get-fed/ …,1,1,
922567333557583872,#metoo . Female harassers. Is not all women a valid response if I say girls need to change?,1,3,
920263515054764033,@LanaParrilla @bexmader @FaceForwardLA @sean_m_maguire #MeToo And still hurts.... https:// twitter.com/BulliesKeepOut /status/920225024010805248 …,1,1,D
919932252548612096,"It's taken me awhile to feel ok with posting this but #metoo . Thinking of all the people who aren't ready to say me too"" yet.""",1,1,D
919981644035121152,#metoo #YesAllWomen,1,1,D
920135850318618629,Something #metoo has me thinking about is how men vs women in my life have reacted to various situations I have been in,1,1,
923290626497622022,Am I allowed to say #metoo as well or will the alt-left attack me for it?,1,1,D
920075908748382208,#MeToo #MeToo,1,1,D
919982532157935617,"#MeToo because the first person I told, a close friend, said I was lying. And it took me 13 years to tell anyone else",1,1,D
919932632607199233,#MeToo In public. In private. W/ friends by my side. Dressed up. In tracksuit bottoms. In the middle of Times Square. W/ family by my side https:// twitter.com/alyssa_milano/ status/919659438700670976 …,1,1,D
923942365823369216,"#FF @SafeSpacesDC because is #metoo & #HimThough brought anything to consciousness, it's that we need LAWS to ensure public spaces are SAFE.",1,1,D
920147216374927360,#MeToo,1,1,D
920063080897437698,#MeToo,1,1,D
920099469441617920,Me too. #metoo pic.twitter.com/UvfoqTMK2z,1,1,D
920937095950159872,I know I normally post puns but I figured if there was a time to be serious it’s at 2 am on a Thursday mid essay. #metoo #nomoresilence,1,1,D
924521881721556994,#MeToo https://www. goread.com/buzz/sabrina-g reer/article/metoo/ …,1,1,D
920207356255928320,Most women I know have been sexually harassed or assaulted by a man. Let's start talking about who's doing this + why #metoo #rapeculture,1,1,D
920078275250216961,"(C) I may not remember it but all the red flags are there. Subconsciously, I think I know what happened, happened. It broke me so #MeToo",1,1,D
919923914188435458,Sexual predators don't discriminate when choosing victims. We shouldn't either when offering support and consolation. #MeToo #MenToo,1,1,
924233813131177984,The latest The Dystenium Science Daily! https:// paper.li/scienceondeman d?edition_id=aa92b5f0-bbd1-11e7-b301-0cc47a0d15fd … Thanks to @bistraung ##metoo,2,,
919967501664051200,#MeToo,1,1,D
920974040852062208,I used to defend harassed women at work until the WOMEN turned against me to keep their jobs. #metoo = hypocrisy,1,2,
919998260214984705,Me too #MeToo,1,1,D
919921222862880768,#MeToo,1,1,D
920061634860613633,#MeToo,1,1,D
920099590925373441,#metoo https:// twitter.com/alyssa_milano/ status/919659438700670976 …,1,1,D
920052740092547072,Opinion | #MeToo is spreading. Are men getting let off the hook? http:// wapo.st/2xJzcsA?tid=ss _tw-bottom&utm_term=.3ab10aa6017c …,1,,
919982009199443968,#MeToo,1,1,D
921022995732226048,"11/ As I said: We have a lot of fucking work to do, and we can’t do it alone. #metoo",1,1,
919950171139649536,#MeToo,1,1,D
920078217620357121,#metoo @least ×20 since age 15 By age 5 we must be teaching kids (esp boys) to respect people/girls or #metoo WILL happen 2 ur daughters 2,1,1,D
919873297906585600," #MeToo Floods Social Media With Stories of Harassment and Assault"" by ANNA CODREA-RADO via NYT The New York Times http:// ift.tt/2ysLwSf""",1,,
920987685136797696,I'll go first... #MeToo pic.twitter.com/ya8Yjy4JeL,1,1,D
920323221383237634,"The more I think about it, I was maybe roofied at my Bachelorette because my friend certainly was. Thankfully we weren't alone. #MeToo",1,1,C
920660441667395584,#MeToo sending hugs to you and all affected xx,1,1,
923652341449945088,"Remember #BarbaraBush referred to these people as Great families!"" #MeToo https://www. huffingtonpost.com/entry/george-h w-bush-groping_us_59f20fc3e4b077d8dfc82c08 …""",1,,
920618399138430976,I fully support and appreciate #MeToo but boy has all of this brought up memories,1,1,D
920072780372209664,#metoo,1,1,D
